id;id_rest;nom_rest;adresse_rest
1;19018;Avon;infrastructures primary Account
2;67216;enterprise redundant withdrawal;calculate Agent
3;9502;Avon revolutionize Orchestrator;Mouse Web Internal
4;61587;online;e-commerce Awesome hard
5;99685;productize Tasty Planner;transmit Global transitional
6;88759;deliver;Handcrafted
7;73766;synthesizing white integrated;Arizona revolutionize South
8;74553;Sports Australia;Consultant
9;28377;leverage Plastic;Credit
10;3342;Borders transmitting Global;maroon Euro
